URL;Precio;Area;Latitud;Longitud
https://urbania.pe/inmueble/proyecto-residencial-verbania-jesus-maria-pre-venta-lima-jesus-maria-grupo-toratto-2895;US$ 154,612;73.48-160.26;-77.04532039174;-12.076237141142
https://urbania.pe/inmueble/proyecto-ficus-jesus-maria-lima-jesus-maria-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-3094;US$ 66,526;42.00-88.36;-77.042246178;-12.065237392
https://urbania.pe/inmueble/proyecto-le-saule-deux-lima-lince-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-4180;US$ 102,044;45.92-173.80;-77.041097602686;-12.089557751417
https://urbania.pe/inmueble/proyecto-los-robles-torres-a-y-b-surquillo-lima-surquillo-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-4233;US$ 74,024;38.90-74.21;-77.023145309606;-12.105209260602
https://urbania.pe/inmueble/proyecto-le-pommier-lima-lince-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-4252;US$ 134,259;60.36-148.00;-77.037232554;-12.089711716
https://urbania.pe/inmueble/proyecto-escena-360-lima-magdalena-del-mar-novo-arte-soluciones-sac-3741;US$ 86,053;53.62-91.24;-77.067875449;-12.096735139
https://urbania.pe/inmueble/proyecto-edificio-golf-one-cerros-de-camacho-entrega-febrero-2019-lima-santiago-de-surco-4485;US$ 880,625;328.30-696.73;-76.963579514819;-12.090044379647
https://urbania.pe/inmueble/proyecto-edificio-balta-sky-lima-miraflores-4487;US$ 168,714;72.10-229.72;-77.031825775665;-12.123337783583
https://urbania.pe/inmueble/proyecto-jiron-9-proyecto-esmeralda-san-borja-lima-san-borja-2k-inmobiliaria-4172;US$ 223,842;122.69-245.87;-76.982690373246;-12.089553599767
https://urbania.pe/inmueble/proyecto-edificio-sophia-iii-lince-lima-lince-grupo-mg-1300;US$ 148,991;87.00;-77.046551184;-12.086444541
https://urbania.pe/inmueble/proyecto-edificio-mar-de-plata-san-miguel-lima-san-miguel-grupo-mg-1632;US$ 100,890;70.00-134.00;-77.084085577;-12.087296154
https://urbania.pe/inmueble/proyecto-edificio-los-pinos-santa-beatriz-lima-cercado-de-lima-grupo-mg-2784;US$ 105,638;70.00-140.00;-77.033768021;-12.078282204
https://urbania.pe/inmueble/proyecto-edificio-la-reserva-santa-beatriz-lima-cercado-de-lima-grupo-mg-3777;US$ 102,819;68.50-120.00;-77.031824042;-12.074557818
https://urbania.pe/inmueble/proyecto-los-pinos-ii-santa-beatriz-lima-cercado-de-lima-grupo-mg-4152;US$ 91,524;65.40-150.00;-77.0315317;-12.0781405
https://urbania.pe/inmueble/proyecto-edificio-vista-brasil-lima-magdalena-del-mar-grupo-mg-4340;US$ 78,338;50.00-82.00;-77.069511919049;-12.093851985736
https://urbania.pe/inmueble/proyecto-jr-los-jazmines-211-cruce-con-las-orquideas-lince-lima-lince-enacorp-sa-3669;US$ 91,395;47.80-71.00;-77.028397165221;-12.089129672745
https://urbania.pe/inmueble/proyecto-pacifik-ocean-tower-lima-san-miguel-labok-centro-empresarial-4387;US$ 46,180;33.00-92.50;-77.0837981;-12.0911548
https://urbania.pe/inmueble/proyecto-paseo-la-marina-lima-san-miguel-grupo-sol-consorcio-inmobiliario-3324;US$ 156,973;136.55-151.24;-77.098795684656;-12.07542279144
https://urbania.pe/inmueble/proyecto-catalino-barranco-lima-barranco-grupo-tyc-2730;US$ 62,215;34.14-85.00;-77.0147186;-12.1384213
https://urbania.pe/inmueble/proyecto-distrito27-lima-san-isidro-rocazul-grupo-constructor-4484;US$ 251,244;90.02-292.78;-77.0575201;-12.1007557
https://urbania.pe/inmueble/proyecto-rizo-patron-240-lima-surquillo-ditrenzzo-outstanding-living-4456;US$ 67,953;40.58-122.39;-77.0115883;-12.1143264
https://urbania.pe/inmueble/proyecto-residencial-justo-vigil-lima-magdalena-del-mar-tale-inmobiliaria-4392;US$ 75,789;41.52-133.01;-77.0628405;-12.099204
https://urbania.pe/inmueble/proyecto-galeon-364-chacarilla-del-estanque-lima-san-borja-2k-inmobiliaria-3045;US$ 265,750;121.00-242.56;-76.983565213311;-12.109145086477
https://urbania.pe/inmueble/proyecto-marsano-2175-lima-surquillo-ter-edificaciones-4290;US$ 83,744;45.00-61.00;-77.004860736401;-12.122783791496
https://urbania.pe/inmueble/proyecto-trinidad-226-lima-san-borja-galeon-4479;US$ 279,466;127.03-245.10;-76.987311675011;-12.109913022961
https://urbania.pe/inmueble/proyecto-condominio-club-casas-del-valle-lima-carabayllo-enacorp-sa-574;US$ 45,994;71.50;-77.086804881176;-11.859273499243
https://urbania.pe/inmueble/proyecto-yours-condominium-lima-santiago-de-surco-enacorp-sa-3308;US$ 320,475;156.63-205.62;-76.971485503194;-12.112056580964
https://urbania.pe/inmueble/proyecto-urban-tower-2-lima-pueblo-libre-quatro-inmobiliaria-4363;US$ 58,102;36.30-78.00;-77.0663388;-12.0675324
https://urbania.pe/inmueble/proyecto-you-5020-lima-miraflores-quatro-inmobiliaria-3933;US$ 210,472;89.62-128.00;-77.02956;-12.116221008
https://urbania.pe/inmueble/proyecto-el-mirador-de-la-alameda-arequipa-peru-arequipa-miraflores-altozano-desarrollo-y-construccion-2859;US$ 49,258;72.00-80.00;-71.511422682556;-16.393146686114
https://urbania.pe/inmueble/proyecto-residencial-lomas-de-la-alameda-arequipa-arequipa-miraflores-altozano-desarrollo-y-construccion-3543;US$ 33,659;58.00;-71.511350777832;-16.393373973334
https://urbania.pe/inmueble/proyecto-paseo-de-la-alameda-tacna-tacna-tacna-altozano-desarrollo-y-construccion-2860;US$ 40,208;72.00;-70.2427873;-18.0309557
https://urbania.pe/inmueble/proyecto-solar-de-la-alameda-arequipa-miraflores-altozano-desarrollo-y-construccion-4195;US$ 54,896;75.73-77.08;-71.511834595184;-16.393495942237
https://urbania.pe/inmueble/proyecto-torre-brasil-bonos-de-20000-soles-en-efectivo-entrega-inmediata-lima-magdalena-del-mar-mw-construcciones-sac-1075;US$ 103,709;67.00-98.00;-77.0649462;-12.0882831
https://urbania.pe/inmueble/proyecto-edificio-xander-entrega-inmediata-limite-san-isidro-lima-lince-mw-construcciones-sac-2492;US$ 155,608;48.37-133.07;-77.04661222442;-12.09209653372
https://urbania.pe/inmueble/proyecto-edificio-parque-alameda-lima-jesus-maria-lugano-proyectos-y-construcciones-2945;US$ 111,573;63.50-76.40;-77.041221954;-12.074973297
https://urbania.pe/inmueble/proyecto-edificio-centrica-vip-lima-jesus-maria-lugano-proyectos-y-construcciones-1964;US$ 115,430;75.03-103.90;-77.0435289;-12.0750295
https://urbania.pe/inmueble/proyecto-edificio-liberty-lima-pueblo-libre-lugano-proyectos-y-construcciones-3553;US$ 99,258;62.57-127.56;-77.065756076721;-12.07884223046
https://urbania.pe/inmueble/proyecto-ambrosia-lima-lince-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-4478;US$ 113,523;52.90-189.65;-77.039281700064;-12.089791381693
https://urbania.pe/inmueble/proyecto-residencial-rio-de-janeiro-lima-miraflores-abaconsult-sac-564;US$ 369,000;222.00-235.00;-77.031097;-12.1056
https://urbania.pe/inmueble/proyecto-salamanca-entrega-inmediata-las-zarzamoras-lima-ate-vartel-constructora-inmobiliaria-sa-3909;US$ 118,694;99.98-188.27;-76.8895843;-12.0266998
https://urbania.pe/inmueble/proyecto-nuevo-proyecto-salamanca-las-trinitarias-preventa-lima-ate-vartel-constructora-inmobiliaria-sa-4309;US$ 120,178;89.30-188.00;-76.9804528;-12.0811203
https://urbania.pe/inmueble/proyecto-colina-loft-lima-surquillo-intium-3737;US$ 44,718;26.00-58.23;-77.021091991;-12.118134805
https://urbania.pe/inmueble/proyecto-residencial-perseo-urb-la-campina-chorrillos-lima-chorrillos-intium-2025;US$ 48,368;40.00-74.00;-77.002966356541;-12.177168466876
https://urbania.pe/inmueble/proyecto-flat-sky-towers-3-lima-lince-flat-inmobiliaria-sac-4430;US$ 84,273;44.78-105.00;-77.033467;-12.089634
https://urbania.pe/inmueble/proyecto-icono-557-lima-miraflores-grupo-icono-sac-2552;US$ 168,750;80.50-164.60;-77.045331714;-12.114996714
https://urbania.pe/inmueble/proyecto-diez-canseco-lima-miraflores-binda-ingenieros-sa-2919;US$ 264,000;91.00-210.50;-77.0232637;-12.1217729
https://urbania.pe/inmueble/proyecto-we-live-lima-magdalena-del-mar-san-charbel-edificaciones--4473;;67.00-89.00;-77.061463201852;-12.092849388584
https://urbania.pe/inmueble/proyecto-oficinas-square-lima-miraflores-binda-ingenieros-sa-3546;US$ 75,000;29.34-63.02;-77.002342979739;-12.128961560476
https://urbania.pe/inmueble/proyecto-montagne-cinco-lima-miraflores-binda-ingenieros-sa-3889;US$ 573,000;206.93;-77.012824;-12.1234147
https://urbania.pe/inmueble/proyecto-flat-front-tower-en-construccionmagdalena-del-mar-lima-magdalena-del-mar-flat-inmobiliaria-sac-3892;US$ 64,392;39.00-72.00;-77.070525869;-12.095750066
https://urbania.pe/inmueble/proyecto-flat-petit-tower-lima-cercado-de-lima-flat-inmobiliaria-sac-3998;US$ 78,635;49.00-76.00;-77.034223853;-12.077389966
https://urbania.pe/inmueble/proyecto-flat-mariscal-castilla-proxima-entrega-lima-lince-flat-inmobiliaria-sac-261;US$ 140,356;66.00-112.70;-77.042853558;-12.087804565
https://urbania.pe/inmueble/proyecto-residencial-holbein-lima-surquillo-prisma-negocios-inmobiliarios-sac-4335;US$ 93,385;53.67-97.61;-76.9958482;-12.1123833
